inventory id,name,quantity,maxstock
1,shrimp,935,2000
2,honey walnut sauce,710,2000
3,chicken,814,2000
4,orange sauce,178,2000
5,sesame sauce,1826,2000
6,beef,728,2000
7,soy sauce,1218,2000
8,tofu,854,2000
9,eggplant sauce,1146,2000
10,greens,681,2000
11,rice,1539,2000
12,vegetables,1574,2000
13,noodles,777,2000
14,spring roll,3117,5000
15,egg roll,704,5000
16,rangoon,1610,5000
17,soda syrup,931,5000
18,soda water,1617,5000
19,cups with lid,4667,10000
20,straws,5952,10000
21,bottle,724,10000
22,bowls,4215,10000
23,plates,9479,10000
24,bags,2748,10000
25,fortune cookie,644,10000
26,hot mustard sauce,6700,10000
27,Teriyaki Sauce Packets,6212,10000
28,Sweet and Sour Sauce Packets,5106,10000
29,Sweet Chili Sauce,4805,10000
30,Silverware Pack,7634,10000
31,Chopsticks,8342,10000
32,A la Carte Box,4568,10000
33,Appetizer bag,303,10000
