transactionid,itemid,orderid
1,2,1
1,13,2
1,3,3
1,11,4
2,11,5
2,4,6
2,11,7
3,1,8
4,2,9
4,12,10
4,4,11
4,4,12
4,12,13
5,12,14
5,1,15
5,1,16
6,4,17
6,1,18
6,1,19
6,11,20
6,4,21
7,1,22
8,3,23
8,4,24
9,12,25
9,2,26
9,6,27
9,6,28
9,13,29
10,3,30
10,4,31
10,6,32
10,2,33
11,2,34
11,4,35
12,2,36
12,3,37
12,6,38
12,12,39
13,11,40
13,2,41
13,2,42
13,4,43
14,11,44
14,11,45
15,12,46
15,12,47
16,4,48
17,12,49
17,4,50
18,11,51
18,4,52
18,11,53
19,13,54
20,1,55
20,11,56
20,13,57
20,3,58
21,4,59
21,4,60
21,4,61
21,11,62
21,13,63
22,6,64
22,1,65
22,11,66
23,13,67
23,12,68
23,4,69
24,11,70
24,6,71
24,3,72
24,1,73
24,6,74
25,2,75
26,12,76
26,11,77
26,3,78
27,12,79
27,4,80
27,13,81
27,12,82
28,1,83
28,13,84
28,4,85
29,13,86
30,11,87
30,3,88
31,1,89
31,12,90
31,3,91
31,6,92
31,3,93
32,13,94
32,6,95
32,4,96
32,11,97
32,1,98
33,12,99
33,13,100
34,11,101
34,11,102
34,6,103
34,11,104
34,13,105
35,11,106
35,6,107
35,1,108
35,12,109
36,2,110
36,2,111
36,13,112
36,2,113
37,12,114
38,13,115
38,6,116
38,1,117
38,3,118
38,6,119
39,2,120
39,6,121
39,6,122
39,11,123
40,3,124
40,11,125
41,2,126
41,2,127
41,2,128
41,11,129
42,2,130
42,4,131
42,12,132
43,4,133
43,4,134
43,6,135
43,4,136
43,2,137
44,13,138
44,3,139
45,6,140
45,2,141
45,13,142
45,6,143
46,12,144
46,3,145
46,4,146
46,12,147
46,6,148
47,11,149
47,2,150
48,1,151
49,13,152
49,3,153
49,1,154
49,11,155
49,12,156
50,1,157
51,2,158
51,4,159
51,4,160
51,11,161
52,6,162
52,4,163
52,3,164
53,3,165
53,12,166
53,13,167
54,4,168
54,1,169
54,6,170
54,6,171
54,3,172
55,6,173
55,11,174
55,6,175
55,11,176
55,1,177
56,12,178
56,4,179
56,12,180
56,3,181
56,2,182
57,2,183
57,6,184
58,1,185
58,13,186
59,6,187
60,4,188
60,11,189
60,12,190
60,13,191
61,4,192
61,6,193
61,3,194
62,4,195
62,6,196
62,12,197
62,1,198
63,11,199
63,6,200
64,4,201
64,12,202
65,1,203
65,4,204
65,11,205
66,11,206
66,11,207
66,11,208
66,6,209
67,11,210
68,6,211
68,12,212
68,11,213
68,1,214
69,4,215
69,4,216
69,6,217
70,4,218
70,3,219
70,11,220
70,13,221
71,11,222
72,2,223
72,13,224
72,6,225
73,4,226
73,3,227
73,1,228
73,6,229
73,3,230
74,12,231
74,13,232
74,6,233
74,11,234
75,3,235
75,13,236
75,2,237
75,11,238
76,12,239
76,1,240
76,1,241
77,1,242
77,2,243
77,11,244
77,13,245
78,12,246
78,3,247
78,13,248
79,6,249
79,2,250
79,3,251
79,3,252
79,11,253
80,1,254
80,6,255
81,13,256
81,3,257
82,1,258
82,12,259
82,2,260
82,6,261
83,12,262
83,1,263
83,2,264
83,6,265
84,13,266
84,13,267
84,2,268
85,1,269
85,2,270
85,4,271
86,13,272
87,11,273
87,11,274
87,2,275
87,11,276
87,12,277
88,13,278
89,13,279
90,2,280
90,12,281
90,4,282
90,11,283
91,2,284
91,2,285
92,3,286
93,13,287
93,11,288
93,13,289
93,6,290
94,1,291
94,13,292
94,3,293
94,4,294
94,12,295
95,2,296
95,4,297
95,6,298
96,11,299
97,12,300
97,6,301
98,6,302
98,4,303
98,6,304
98,3,305
99,1,306
100,4,307
100,12,308
100,13,309
100,13,310
101,12,311
101,12,312
101,11,313
102,11,314
103,3,315
104,13,316
104,6,317
104,12,318
105,13,319
105,13,320
105,3,321
105,6,322
105,2,323
106,1,324
106,1,325
106,3,326
107,3,327
107,6,328
107,4,329
108,11,330
108,4,331
108,1,332
108,6,333
109,1,334
109,3,335
109,3,336
109,1,337
109,2,338
110,4,339
110,13,340
110,2,341
110,12,342
110,12,343
111,4,344
111,11,345
111,11,346
112,11,347
112,11,348
112,11,349
112,2,350
112,12,351
113,3,352
113,12,353
113,11,354
113,3,355
113,6,356
114,13,357
114,13,358
114,13,359
114,1,360
115,6,361
115,2,362
115,3,363
115,12,364
116,1,365
116,6,366
117,2,367
117,2,368
117,13,369
117,1,370
117,3,371
118,12,372
118,11,373
118,4,374
118,6,375
119,4,376
120,6,377
120,2,378
120,12,379
120,1,380
121,4,381
121,11,382
121,6,383
121,12,384
122,3,385
122,1,386
122,1,387
122,6,388
122,2,389
123,12,390
123,6,391
123,12,392
123,13,393
123,1,394
124,3,395
124,2,396
125,3,397
125,4,398
125,4,399
125,11,400
125,6,401
126,6,402
126,2,403
126,12,404
126,1,405
127,13,406
127,11,407
127,11,408
128,2,409
128,6,410
