orderid,menuid,type,size
1,9,entree,
1,10,entree,
1,15,side,
2,24,drink,large
3,1,entree,
3,2,entree,
3,3,entree,
3,15,side,
4,16,appetizer,
5,18,appetizer,
6,1,entree,
6,7,entree,
6,10,entree,
6,15,side,
6,14,side,
7,18,appetizer,
8,9,entree,
8,14,side,
9,4,entree,
9,6,entree,
9,12,side,
10,36,bottle,
11,0,entree,
11,10,entree,
11,11,entree,
11,15,side,
11,14,side,
12,4,entree,
12,3,entree,
12,9,entree,
12,14,side,
12,13,side,
13,37,bottle,
14,36,bottle,
15,8,entree,
15,12,side,
16,10,entree,
16,14,side,
17,8,entree,
17,1,entree,
17,10,entree,
17,14,side,
17,12,side,
18,11,entree,
18,15,side,
19,0,entree,
19,13,side,
20,17,appetizer,
21,2,entree,
21,11,entree,
21,5,entree,
21,12,side,
21,15,side,
22,11,entree,
22,13,side,
23,7,entree,
23,5,entree,
23,0,entree,
23,13,side,
24,5,entree,
24,4,entree,
24,8,entree,
24,12,side,
24,15,side,
25,36,bottle,
26,100,entree,
26,3,entree,
26,12,side,
27,1,a la carte,medium
28,6,a la carte,small
29,19,drink,small
30,9,entree,
30,3,entree,
30,6,entree,
30,13,side,
31,9,entree,
31,5,entree,
31,1,entree,
31,14,side,
31,14,side,
32,2,a la carte,large
33,100,entree,
33,3,entree,
33,15,side,
34,5,entree,
34,4,entree,
34,13,side,
35,10,entree,
35,0,entree,
35,6,entree,
35,14,side,
35,13,side,
36,11,entree,
36,5,entree,
36,13,side,
37,4,entree,
37,9,entree,
37,10,entree,
37,15,side,
38,5,a la carte,small
39,35,bottle,
40,16,appetizer,
41,0,entree,
41,1,entree,
41,14,side,
42,6,entree,
42,8,entree,
42,12,side,
43,100,entree,
43,100,entree,
43,10,entree,
43,14,side,
43,13,side,
44,17,appetizer,
45,16,appetizer,
46,37,bottle,
47,36,bottle,
48,10,entree,
48,1,entree,
48,10,entree,
48,14,side,
48,14,side,
49,37,bottle,
50,100,entree,
50,2,entree,
50,0,entree,
50,13,side,
50,13,side,
51,16,appetizer,
52,11,entree,
52,5,entree,
52,4,entree,
52,15,side,
52,13,side,
53,16,appetizer,
54,32,drink,medium
55,8,entree,
55,14,side,
56,18,appetizer,
57,31,drink,small
58,4,entree,
58,9,entree,
58,10,entree,
58,14,side,
59,2,entree,
59,5,entree,
59,6,entree,
59,14,side,
59,15,side,
60,8,entree,
60,4,entree,
60,11,entree,
60,15,side,
60,12,side,
61,7,entree,
61,11,entree,
61,2,entree,
61,13,side,
61,13,side,
62,16,appetizer,
63,23,drink,medium
64,13,a la carte,medium
65,6,entree,
65,13,side,
66,18,appetizer,
67,32,drink,small
68,37,bottle,
69,11,entree,
69,6,entree,
69,4,entree,
69,13,side,
69,13,side,
70,17,appetizer,
71,1,a la carte,large
72,10,entree,
72,10,entree,
72,10,entree,
72,15,side,
73,100,entree,
73,12,side,
74,12,a la carte,large
75,5,entree,
75,5,entree,
75,13,side,
76,37,bottle,
77,18,appetizer,
78,2,entree,
78,5,entree,
78,100,entree,
78,13,side,
79,37,bottle,
80,0,entree,
80,2,entree,
80,4,entree,
80,12,side,
80,14,side,
81,28,drink,medium
82,36,bottle,
83,0,entree,
83,15,side,
84,30,drink,small
85,11,entree,
85,10,entree,
85,8,entree,
85,15,side,
85,14,side,
86,33,drink,large
87,17,appetizer,
88,6,entree,
88,1,entree,
88,10,entree,
88,12,side,
89,1,entree,
89,14,side,
90,35,bottle,
91,5,entree,
91,7,entree,
91,8,entree,
91,13,side,
92,13,a la carte,large
93,10,entree,
93,4,entree,
93,8,entree,
93,12,side,
94,33,drink,large
95,15,a la carte,medium
96,10,entree,
96,7,entree,
96,3,entree,
96,14,side,
96,12,side,
97,16,appetizer,
98,7,entree,
98,12,side,
99,36,bottle,
100,26,drink,large
101,16,appetizer,
102,16,appetizer,
103,9,a la carte,large
104,17,appetizer,
105,26,drink,small
106,17,appetizer,
107,4,a la carte,large
108,9,entree,
108,14,side,
109,35,bottle,
110,8,entree,
110,9,entree,
110,15,side,
111,7,entree,
111,9,entree,
111,15,side,
112,32,drink,medium
113,9,entree,
113,2,entree,
113,12,side,
114,35,bottle,
115,23,drink,large
116,7,a la carte,medium
117,4,entree,
117,15,side,
118,10,entree,
118,100,entree,
118,5,entree,
118,12,side,
119,15,a la carte,medium
120,3,entree,
120,8,entree,
120,12,side,
121,8,a la carte,medium
122,12,a la carte,large
123,16,appetizer,
124,6,entree,
124,7,entree,
124,5,entree,
124,15,side,
125,16,appetizer,
126,7,entree,
126,100,entree,
126,14,side,
127,4,entree,
127,3,entree,
127,15,side,
128,6,entree,
128,0,entree,
128,15,side,
129,17,appetizer,
130,9,entree,
130,3,entree,
130,13,side,
131,6,entree,
131,1,entree,
131,1,entree,
131,14,side,
131,15,side,
132,37,bottle,
133,3,entree,
133,11,entree,
133,10,entree,
133,14,side,
133,14,side,
134,2,entree,
134,9,entree,
134,3,entree,
134,15,side,
134,14,side,
135,13,a la carte,medium
136,4,entree,
136,11,entree,
136,100,entree,
136,14,side,
136,14,side,
137,0,entree,
137,5,entree,
137,14,side,
138,23,drink,small
139,10,entree,
139,2,entree,
139,9,entree,
139,12,side,
140,4,a la carte,medium
141,1,entree,
141,11,entree,
141,15,side,
142,29,drink,medium
143,13,a la carte,medium
144,35,bottle,
145,1,entree,
145,3,entree,
145,8,entree,
145,14,side,
146,1,entree,
146,7,entree,
146,6,entree,
146,13,side,
146,14,side,
147,35,bottle,
148,100,a la carte,large
149,17,appetizer,
150,2,entree,
150,10,entree,
150,15,side,
151,7,entree,
151,13,side,
152,34,drink,medium
153,5,entree,
153,3,entree,
153,7,entree,
153,12,side,
154,3,entree,
154,13,side,
155,17,appetizer,
156,37,bottle,
157,0,entree,
157,13,side,
158,9,entree,
158,2,entree,
158,12,side,
159,100,entree,
159,0,entree,
159,10,entree,
159,12,side,
159,12,side,
160,10,entree,
160,2,entree,
160,1,entree,
160,15,side,
160,15,side,
161,16,appetizer,
162,3,a la carte,small
163,5,entree,
163,7,entree,
163,5,entree,
163,15,side,
163,14,side,
164,100,entree,
164,8,entree,
164,7,entree,
164,15,side,
165,8,entree,
165,3,entree,
165,7,entree,
165,14,side,
166,36,bottle,
167,26,drink,large
168,1,entree,
168,8,entree,
168,4,entree,
168,12,side,
168,15,side,
169,3,entree,
169,12,side,
170,100,a la carte,medium
171,12,a la carte,large
172,2,entree,
172,2,entree,
172,100,entree,
172,12,side,
173,7,a la carte,large
174,17,appetizer,
175,4,a la carte,large
176,17,appetizer,
177,4,entree,
177,13,side,
178,36,bottle,
179,8,entree,
179,100,entree,
179,11,entree,
179,14,side,
179,12,side,
180,36,bottle,
181,5,entree,
181,2,entree,
181,11,entree,
181,14,side,
182,4,entree,
182,5,entree,
182,15,side,
183,2,entree,
183,100,entree,
183,15,side,
184,14,a la carte,medium
185,1,entree,
185,13,side,
186,21,drink,small
187,3,a la carte,small
188,8,entree,
188,2,entree,
188,100,entree,
188,12,side,
188,14,side,
189,16,appetizer,
190,35,bottle,
191,26,drink,large
192,8,entree,
192,5,entree,
192,5,entree,
192,12,side,
192,13,side,
193,12,a la carte,large
194,9,entree,
194,10,entree,
194,11,entree,
194,12,side,
195,11,entree,
195,100,entree,
195,1,entree,
195,14,side,
195,12,side,
196,15,a la carte,large
197,35,bottle,
198,7,entree,
198,12,side,
199,18,appetizer,
200,4,a la carte,large
201,6,entree,
201,3,entree,
201,10,entree,
201,15,side,
201,14,side,
202,36,bottle,
203,5,entree,
203,15,side,
204,4,entree,
204,7,entree,
204,8,entree,
204,14,side,
204,13,side,
205,16,appetizer,
206,16,appetizer,
207,18,appetizer,
208,16,appetizer,
209,7,a la carte,large
210,17,appetizer,
211,11,a la carte,large
212,35,bottle,
213,16,appetizer,
214,2,entree,
214,14,side,
215,0,entree,
215,3,entree,
215,10,entree,
215,12,side,
215,13,side,
216,6,entree,
216,0,entree,
216,5,entree,
216,14,side,
216,12,side,
217,6,a la carte,medium
218,2,entree,
218,8,entree,
218,6,entree,
218,14,side,
218,15,side,
219,10,entree,
219,10,entree,
219,100,entree,
219,14,side,
220,16,appetizer,
221,33,drink,large
222,18,appetizer,
223,8,entree,
223,7,entree,
223,15,side,
224,23,drink,small
225,14,a la carte,medium
226,1,entree,
226,11,entree,
226,4,entree,
226,14,side,
226,15,side,
227,5,entree,
227,6,entree,
227,1,entree,
227,15,side,
228,1,entree,
228,14,side,
229,14,a la carte,large
230,7,entree,
230,5,entree,
230,11,entree,
230,14,side,
231,37,bottle,
232,28,drink,medium
233,6,a la carte,medium
234,16,appetizer,
235,5,entree,
235,6,entree,
235,9,entree,
235,13,side,
236,25,drink,medium
237,6,entree,
237,8,entree,
237,15,side,
238,17,appetizer,
239,37,bottle,
240,2,entree,
240,12,side,
241,0,entree,
241,15,side,
242,7,entree,
242,14,side,
243,3,entree,
243,8,entree,
243,12,side,
244,18,appetizer,
245,28,drink,small
246,35,bottle,
247,6,entree,
247,8,entree,
247,6,entree,
247,14,side,
248,22,drink,medium
249,11,a la carte,small
250,100,entree,
250,4,entree,
250,15,side,
251,5,entree,
251,11,entree,
251,0,entree,
251,12,side,
252,8,entree,
252,10,entree,
252,9,entree,
252,15,side,
253,16,appetizer,
254,4,entree,
254,12,side,
255,12,a la carte,medium
256,34,drink,small
257,0,entree,
257,0,entree,
257,0,entree,
257,14,side,
258,0,entree,
258,14,side,
259,35,bottle,
260,3,entree,
260,5,entree,
260,15,side,
261,14,a la carte,large
262,37,bottle,
263,0,entree,
263,15,side,
264,2,entree,
264,8,entree,
264,14,side,
265,14,a la carte,large
266,29,drink,large
267,29,drink,small
268,100,entree,
268,11,entree,
268,15,side,
269,5,entree,
269,14,side,
270,7,entree,
270,10,entree,
270,15,side,
271,11,entree,
271,2,entree,
271,100,entree,
271,13,side,
271,12,side,
272,19,drink,medium
273,18,appetizer,
274,18,appetizer,
275,5,entree,
275,10,entree,
275,14,side,
276,16,appetizer,
277,36,bottle,
278,22,drink,large
279,33,drink,small
280,11,entree,
280,7,entree,
280,13,side,
281,36,bottle,
282,11,entree,
282,8,entree,
282,7,entree,
282,15,side,
282,15,side,
283,17,appetizer,
284,8,entree,
284,0,entree,
284,12,side,
285,11,entree,
285,3,entree,
285,13,side,
286,3,entree,
286,6,entree,
286,5,entree,
286,14,side,
287,31,drink,small
288,16,appetizer,
289,30,drink,medium
290,1,a la carte,medium
291,11,entree,
291,13,side,
292,25,drink,large
293,2,entree,
293,4,entree,
293,6,entree,
293,13,side,
294,8,entree,
294,2,entree,
294,7,entree,
294,13,side,
294,14,side,
295,35,bottle,
296,10,entree,
296,7,entree,
296,15,side,
297,0,entree,
297,10,entree,
297,100,entree,
297,14,side,
297,12,side,
298,7,a la carte,medium
299,16,appetizer,
300,36,bottle,
301,10,a la carte,medium
302,11,a la carte,small
303,5,entree,
303,8,entree,
303,6,entree,
303,14,side,
303,13,side,
304,6,a la carte,small
305,100,entree,
305,3,entree,
305,11,entree,
305,14,side,
306,7,entree,
306,14,side,
307,5,entree,
307,7,entree,
307,6,entree,
307,12,side,
307,13,side,
308,37,bottle,
309,22,drink,small
310,33,drink,small
311,37,bottle,
312,35,bottle,
313,16,appetizer,
314,17,appetizer,
315,11,entree,
315,8,entree,
315,6,entree,
315,13,side,
316,19,drink,large
317,11,a la carte,small
318,36,bottle,
319,34,drink,large
320,26,drink,large
321,0,entree,
321,1,entree,
321,0,entree,
321,15,side,
322,4,a la carte,large
323,0,entree,
323,10,entree,
323,12,side,
324,100,entree,
324,15,side,
325,100,entree,
325,13,side,
326,4,entree,
326,5,entree,
326,9,entree,
326,14,side,
327,7,entree,
327,1,entree,
327,0,entree,
327,15,side,
328,9,a la carte,large
329,100,entree,
329,5,entree,
329,10,entree,
329,14,side,
329,13,side,
330,18,appetizer,
331,8,entree,
331,3,entree,
331,9,entree,
331,12,side,
331,13,side,
332,100,entree,
332,13,side,
333,10,a la carte,large
334,8,entree,
334,15,side,
335,6,entree,
335,100,entree,
335,7,entree,
335,14,side,
336,2,entree,
336,9,entree,
336,2,entree,
336,15,side,
337,11,entree,
337,13,side,
338,11,entree,
338,2,entree,
338,13,side,
339,3,entree,
339,100,entree,
339,9,entree,
339,13,side,
339,15,side,
340,25,drink,large
341,5,entree,
341,6,entree,
341,13,side,
342,37,bottle,
343,36,bottle,
344,5,entree,
344,100,entree,
344,5,entree,
344,15,side,
344,13,side,
345,18,appetizer,
346,17,appetizer,
347,18,appetizer,
348,17,appetizer,
349,17,appetizer,
350,4,entree,
350,10,entree,
350,13,side,
351,35,bottle,
352,7,entree,
352,8,entree,
352,7,entree,
352,13,side,
353,36,bottle,
354,16,appetizer,
355,8,entree,
355,8,entree,
355,10,entree,
355,15,side,
356,100,a la carte,medium
357,24,drink,large
358,20,drink,medium
359,20,drink,large
360,7,entree,
360,15,side,
361,4,a la carte,small
362,6,entree,
362,100,entree,
362,13,side,
363,6,entree,
363,1,entree,
363,1,entree,
363,14,side,
364,36,bottle,
365,6,entree,
365,14,side,
366,11,a la carte,small
367,2,entree,
367,2,entree,
367,14,side,
368,8,entree,
368,3,entree,
368,14,side,
369,23,drink,large
370,8,entree,
370,13,side,
371,4,entree,
371,6,entree,
371,2,entree,
371,13,side,
372,35,bottle,
373,17,appetizer,
374,8,entree,
374,7,entree,
374,2,entree,
374,15,side,
374,14,side,
375,1,a la carte,large
376,4,entree,
376,8,entree,
376,5,entree,
376,14,side,
376,14,side,
377,0,a la carte,large
378,1,entree,
378,0,entree,
378,15,side,
379,36,bottle,
380,5,entree,
380,14,side,
381,3,entree,
381,100,entree,
381,2,entree,
381,13,side,
381,13,side,
382,17,appetizer,
383,5,a la carte,small
384,36,bottle,
385,9,entree,
385,6,entree,
385,6,entree,
385,14,side,
386,3,entree,
386,15,side,
387,0,entree,
387,14,side,
388,14,a la carte,large
389,100,entree,
389,5,entree,
389,12,side,
390,35,bottle,
391,8,a la carte,large
392,35,bottle,
393,29,drink,small
394,2,entree,
394,14,side,
395,9,entree,
395,3,entree,
395,6,entree,
395,15,side,
396,10,entree,
396,4,entree,
396,12,side,
397,10,entree,
397,0,entree,
397,1,entree,
397,12,side,
398,7,entree,
398,8,entree,
398,4,entree,
398,14,side,
398,15,side,
399,2,entree,
399,5,entree,
399,10,entree,
399,13,side,
399,13,side,
400,18,appetizer,
401,12,a la carte,medium
402,1,a la carte,medium
403,10,entree,
403,9,entree,
403,12,side,
404,36,bottle,
405,11,entree,
405,12,side,
406,24,drink,medium
407,18,appetizer,
408,17,appetizer,
409,1,entree,
409,1,entree,
409,14,side,
410,2,a la carte,large
411,16,appetizer,
412,7,a la carte,small
413,3,entree,
413,3,entree,
413,100,entree,
413,13,side,
414,8,entree,
414,0,entree,
414,12,side,
415,29,drink,small
416,7,entree,
416,5,entree,
416,11,entree,
416,13,side,
416,13,side,
417,2,entree,
417,15,side,
418,5,entree,
418,15,side,
419,3,entree,
419,3,entree,
419,7,entree,
419,13,side,
420,7,a la carte,small
421,17,appetizer,
422,35,bottle,
423,6,entree,
423,2,entree,
423,11,entree,
423,13,side,
424,17,appetizer,
425,0,entree,
425,3,entree,
425,13,side,
426,22,drink,large
427,11,a la carte,large
428,2,a la carte,small
429,1,entree,
429,4,entree,
429,3,entree,
429,15,side,
430,6,entree,
430,10,entree,
430,1,entree,
430,15,side,
431,28,drink,small
432,13,a la carte,large
433,16,appetizer,
434,16,appetizer,
435,5,entree,
435,10,entree,
435,15,side,
436,11,entree,
436,10,entree,
436,8,entree,
436,13,side,
436,15,side,
437,9,entree,
437,100,entree,
437,9,entree,
437,12,side,
437,14,side,
438,9,entree,
438,10,entree,
438,12,side,
439,4,entree,
439,1,entree,
439,9,entree,
439,14,side,
440,100,a la carte,medium
441,30,drink,medium
442,6,entree,
442,2,entree,
442,14,side,
443,16,appetizer,
444,34,drink,large
445,10,entree,
445,12,side,
446,37,bottle,
447,1,entree,
447,5,entree,
447,2,entree,
447,13,side,
447,12,side,
448,0,a la carte,large
449,16,appetizer,
450,18,appetizer,
451,3,entree,
451,11,entree,
451,11,entree,
451,12,side,
451,13,side,
452,5,entree,
452,12,side,
453,5,entree,
453,3,entree,
453,15,side,
454,100,entree,
454,1,entree,
454,3,entree,
454,14,side,
455,5,a la carte,small
456,37,bottle,
457,7,entree,
457,9,entree,
457,14,side,
458,32,drink,small
459,3,entree,
459,9,entree,
459,14,side,
460,3,a la carte,medium
461,26,drink,medium
462,2,entree,
462,12,side,
463,36,bottle,
464,5,entree,
464,14,side,
465,100,a la carte,small
466,100,entree,
466,9,entree,
466,6,entree,
466,14,side,
466,13,side,
467,0,entree,
467,8,entree,
467,9,entree,
467,13,side,
468,12,a la carte,medium
469,11,entree,
469,3,entree,
469,12,side,
470,17,appetizer,
471,6,entree,
471,1,entree,
471,15,side,
472,5,entree,
472,11,entree,
472,4,entree,
472,13,side,
473,2,entree,
473,6,entree,
473,2,entree,
473,14,side,
473,14,side,
474,5,entree,
474,4,entree,
474,9,entree,
474,12,side,
475,6,a la carte,large
476,10,entree,
476,6,entree,
476,14,side,
477,1,entree,
477,6,entree,
477,14,side,
478,6,a la carte,medium
479,3,a la carte,small
480,3,entree,
480,7,entree,
480,1,entree,
480,14,side,
480,15,side,
481,17,appetizer,
482,100,entree,
482,14,side,
483,16,appetizer,
484,100,entree,
484,12,side,
485,18,appetizer,
486,5,a la carte,large
487,32,drink,small
488,33,drink,large
489,16,appetizer,
490,14,a la carte,large
491,22,drink,small
492,6,a la carte,small
493,15,a la carte,medium
494,28,drink,small
495,17,appetizer,
496,2,entree,
496,12,side,
497,5,entree,
497,15,side,
498,100,entree,
498,6,entree,
498,7,entree,
498,13,side,
498,13,side,
499,33,drink,small
500,0,entree,
500,100,entree,
500,2,entree,
500,12,side,
500,15,side,
501,1,entree,
501,9,entree,
501,11,entree,
501,12,side,
501,13,side,
502,0,entree,
502,8,entree,
502,13,side,
503,5,entree,
503,5,entree,
503,15,side,
504,1,entree,
504,12,side,
505,22,drink,medium
506,19,drink,medium
507,8,entree,
507,15,side,
508,3,entree,
508,6,entree,
508,14,side,
509,15,a la carte,large
510,0,entree,
510,11,entree,
510,6,entree,
510,12,side,
510,15,side,
511,9,entree,
511,8,entree,
511,2,entree,
511,15,side,
511,12,side,
512,36,bottle,
513,4,entree,
513,100,entree,
513,4,entree,
513,15,side,
513,15,side,
514,24,drink,large
515,21,drink,large
516,8,entree,
516,14,side,
517,100,entree,
517,10,entree,
517,7,entree,
517,13,side,
518,23,drink,large
519,1,entree,
519,15,side,
520,18,appetizer,
521,3,entree,
521,14,side,
522,34,drink,medium
523,36,bottle,
524,1,entree,
524,10,entree,
524,5,entree,
524,15,side,
525,34,drink,large
526,3,entree,
526,100,entree,
526,2,entree,
526,15,side,
527,4,entree,
527,0,entree,
527,12,side,
528,36,bottle,
529,9,entree,
529,0,entree,
529,14,side,
530,16,appetizer,
531,6,entree,
531,10,entree,
531,6,entree,
531,13,side,
532,35,bottle,
533,9,entree,
533,3,entree,
533,5,entree,
533,15,side,
533,12,side,
534,1,entree,
534,100,entree,
534,12,side,
535,23,drink,large
536,2,entree,
536,12,side,
537,21,drink,medium
538,15,a la carte,large
539,3,a la carte,medium
540,16,appetizer,
541,15,a la carte,medium
542,8,entree,
542,5,entree,
542,100,entree,
542,15,side,
542,13,side,
543,15,a la carte,medium
544,4,entree,
544,1,entree,
544,5,entree,
544,13,side,
544,15,side,
545,18,appetizer,
546,4,a la carte,medium
547,5,entree,
547,11,entree,
547,0,entree,
547,12,side,
547,13,side,
548,1,entree,
548,5,entree,
548,10,entree,
548,14,side,
548,13,side,
549,4,entree,
549,15,side,
550,8,entree,
550,5,entree,
550,100,entree,
550,12,side,
550,14,side,
551,0,entree,
551,6,entree,
551,13,side,
552,10,entree,
552,1,entree,
552,1,entree,
552,13,side,
552,14,side,
553,3,entree,
553,8,entree,
553,3,entree,
553,13,side,
553,12,side,
554,9,entree,
554,6,entree,
554,12,side,
555,35,bottle,
556,24,drink,medium
557,16,appetizer,
558,35,bottle,
559,1,entree,
559,1,entree,
559,3,entree,
559,12,side,
559,15,side,
560,8,entree,
560,4,entree,
560,12,side,
561,100,entree,
561,3,entree,
561,6,entree,
561,14,side,
562,36,bottle,
563,37,bottle,
564,18,appetizer,
565,14,a la carte,large
566,17,appetizer,
567,9,entree,
567,9,entree,
567,7,entree,
567,15,side,
567,14,side,
568,4,entree,
568,5,entree,
568,7,entree,
568,14,side,
568,15,side,
569,29,drink,small
570,5,a la carte,small
571,16,appetizer,
572,4,a la carte,small
573,0,entree,
573,7,entree,
573,4,entree,
573,14,side,
573,15,side,
574,7,entree,
574,2,entree,
574,0,entree,
574,15,side,
575,36,bottle,
576,7,a la carte,medium
577,8,entree,
577,10,entree,
577,2,entree,
577,14,side,
577,13,side,
578,25,drink,small
579,9,a la carte,large
580,0,entree,
580,14,side,
581,16,appetizer,
582,18,appetizer,
583,1,entree,
583,2,entree,
583,15,side,
584,9,entree,
584,12,side,
585,1,entree,
585,1,entree,
585,13,side,
586,2,entree,
586,100,entree,
586,2,entree,
586,15,side,
586,12,side,
587,7,entree,
587,9,entree,
587,13,side,
588,0,entree,
588,1,entree,
588,15,side,
589,3,entree,
589,5,entree,
589,13,side,
590,4,entree,
590,13,side,
591,9,a la carte,medium
592,0,a la carte,small
593,7,entree,
593,15,side,
594,12,a la carte,large
595,9,entree,
595,13,side,
596,5,entree,
596,9,entree,
596,11,entree,
596,14,side,
596,15,side,
597,13,a la carte,medium
598,11,entree,
598,8,entree,
598,8,entree,
598,13,side,
598,15,side,
599,1,entree,
599,6,entree,
599,14,side,
600,37,bottle,
601,9,a la carte,large
